fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,104486,Invesco India Liquid Fund - Growth,2335.074278333333,71513.58169960369
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,104488,Invesco India Liquid Fund - Regular - Growth,2152.2975233333336,50890.09325406911
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,104726,Invesco India Treasury Advantage Fund - Growth,2356.155540909091,84288.46337744516
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,104728,Invesco India Treasury Advantage Fund - Regular - Growth,2192.7515613636365,63213.442256286464
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,105185,Invesco India Short Term Fund - Growth,2240.254140909091,69628.21810581378
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,105189,Invesco India Short Term Fund - Plan B - Growth,2232.2848227272725,69176.14699122905
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,105274,SBI Liquid Fund - Institutional - Growth,2666.0535784615386,87020.27542350724
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,105280,SBI Liquid Fund - REGULAR PLAN -Growth,2641.192172307692,85374.66577708753
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,105562,Sundaram Low Duration Fund  Inst Growth,21.815970454545454,3.739728437081612
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,105563,Sundaram Low Duration Fund Regular Growth,22.734925,4.384330665511363
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,105564,Sundaram Low Duration Fund Retail Growth,20.66497272727273,3.306759356074379
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,105669,DSP Strategic Bond Fund - Regular Plan - Growth,2016.9995522727272,67357.8558237675
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,105823,LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,21.56560681818182,7.2282166279080595
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,106177,Invesco India Corporate Bond Fund - Growth,1947.4445363636366,52175.19335791459
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,106212,SBI MAGNUM LOW DURATION FUND - REGULAR PLAN - GROWTH,2199.511715909091,73712.83810470089
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,106217,SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Growth,2238.0784750000003,76399.95233195323
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,106227,SBI SHORT HORIZON DEBT FUND-SHORT TERM FUND - RETAIL - GROWTH,22.220293181818178,7.756899855180785
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,106231,SBI SHORT TERM DEBT FUND - REGULAR PLAN -GROWTH,19.640379545454547,6.0576790275361585
